PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,AgeBin,NRelatives,HasRelatives,FareOverHundred,Embarked_Q,Embarked_S,Pclass_2,Pclass_3,EmbarkedCat
1,0,3,1,22.0,1,0,7.25,S,1,1,1,0.0725,0,1,0,1,1.0
2,1,1,0,38.0,1,0,71.2833,C,1,1,1,0.7128329999999999,0,0,0,0,2.0
3,1,3,0,26.0,0,0,7.925,S,1,0,0,0.07925,0,1,0,1,1.0
4,1,1,0,35.0,1,0,53.1,S,1,1,1,0.531,0,1,0,0,1.0
5,0,3,1,35.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
6,0,3,1,24.0,0,0,8.4583,Q,1,0,0,0.08458299999999999,1,0,0,1,3.0
7,0,1,1,54.0,0,0,51.8625,S,1,0,0,0.518625,0,1,0,0,1.0
8,0,3,1,2.0,3,1,21.075,S,0,4,1,0.21075,0,1,0,1,1.0
9,1,3,0,27.0,0,2,11.1333,S,1,2,1,0.111333,0,1,0,1,1.0
10,1,2,0,14.0,1,0,30.0708,C,1,1,1,0.300708,0,0,1,0,2.0
11,1,3,0,4.0,1,1,16.7,S,0,2,1,0.16699999999999998,0,1,0,1,1.0
12,1,1,0,58.0,0,0,26.55,S,1,0,0,0.2655,0,1,0,0,1.0
13,0,3,1,20.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
14,0,3,1,39.0,1,5,31.275,S,1,6,1,0.31275,0,1,0,1,1.0
15,0,3,0,14.0,0,0,7.8542,S,1,0,0,0.078542,0,1,0,1,1.0
16,1,2,0,55.0,0,0,16.0,S,1,0,0,0.16,0,1,1,0,1.0
17,0,3,1,2.0,4,1,29.125,Q,0,5,1,0.29125,1,0,0,1,3.0
18,1,2,1,29.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
19,0,3,0,31.0,1,0,18.0,S,1,1,1,0.18,0,1,0,1,1.0
20,1,3,0,24.0,0,0,7.225,C,1,0,0,0.07225,0,0,0,1,2.0
21,0,2,1,35.0,0,0,26.0,S,1,0,0,0.26,0,1,1,0,1.0
22,1,2,1,34.0,0,0,13.0,S,1,0,0,0.13,0,1,1,0,1.0
23,1,3,0,15.0,0,0,8.0292,Q,1,0,0,0.08029199999999999,1,0,0,1,3.0
24,1,1,1,28.0,0,0,35.5,S,1,0,0,0.355,0,1,0,0,1.0
25,0,3,0,8.0,3,1,21.075,S,1,4,1,0.21075,0,1,0,1,1.0
26,1,3,0,38.0,1,5,31.3875,S,1,6,1,0.313875,0,1,0,1,1.0
27,0,3,1,24.0,0,0,7.225,C,1,0,0,0.07225,0,0,0,1,2.0
28,0,1,1,19.0,3,2,263.0,S,1,5,1,2.63,0,1,0,0,1.0
29,1,3,0,24.0,0,0,7.8792,Q,1,0,0,0.078792,1,0,0,1,3.0
30,0,3,1,24.0,0,0,7.8958,S,1,0,0,0.078958,0,1,0,1,1.0
31,0,1,1,40.0,0,0,27.7208,C,1,0,0,0.277208,0,0,0,0,2.0
32,1,1,0,37.0,1,0,146.5208,C,1,1,1,1.465208,0,0,0,0,2.0
33,1,3,0,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
34,0,2,1,66.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
35,0,1,1,28.0,1,0,82.1708,C,1,1,1,0.821708,0,0,0,0,2.0
36,0,1,1,42.0,1,0,52.0,S,1,1,1,0.52,0,1,0,0,1.0
37,1,3,1,24.0,0,0,7.2292,C,1,0,0,0.072292,0,0,0,1,2.0
38,0,3,1,21.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
39,0,3,0,18.0,2,0,18.0,S,1,2,1,0.18,0,1,0,1,1.0
40,1,3,0,14.0,1,0,11.2417,C,1,1,1,0.112417,0,0,0,1,2.0
41,0,3,0,40.0,1,0,9.475,S,1,1,1,0.09475,0,1,0,1,1.0
42,0,2,0,27.0,1,0,21.0,S,1,1,1,0.21,0,1,1,0,1.0
43,0,3,1,24.0,0,0,7.8958,C,1,0,0,0.078958,0,0,0,1,2.0
44,1,2,0,3.0,1,2,41.5792,C,0,3,1,0.415792,0,0,1,0,2.0
45,1,3,0,19.0,0,0,7.8792,Q,1,0,0,0.078792,1,0,0,1,3.0
46,0,3,1,24.0,0,0,8.05,S,1,0,0,0.0805,0,1,0,1,1.0
47,0,3,1,24.0,1,0,15.5,Q,1,1,1,0.155,1,0,0,1,3.0
48,1,3,0,24.0,0,0,7.75,Q,1,0,0,0.0775,1,0,0,1,3.0
49,0,3,1,24.0,2,0,21.6792,C,1,2,1,0.216792,0,0,0,1,2.0
50,0,3,0,18.0,1,0,17.8,S,1,1,1,0.17800000000000002,0,1,0,1,1.0
51,0,3,1,7.0,4,1,39.6875,S,1,5,1,0.396875,0,1,0,1,1.0
52,0,3,1,21.0,0,0,7.8,S,1,0,0,0.078,0,1,0,1,1.0
53,1,1,0,49.0,1,0,76.7292,C,1,1,1,0.7672920000000001,0,0,0,0,2.0
54,1,2,0,29.0,1,0,26.0,S,1,1,1,0.26,0,1,1,0,1.0
55,0,1,1,65.0,0,1,61.9792,C,1,1,1,0.619792,0,0,0,0,2.0
56,1,1,1,37.0,0,0,35.5,S,1,0,0,0.355,0,1,0,0,1.0
57,1,2,0,21.0,0,0,10.5,S,1,0,0,0.105,0,1,1,0,1.0
58,0,3,1,28.5,0,0,7.2292,C,1,0,0,0.072292,0,0,0,1,2.0
59,1,2,0,5.0,1,2,27.75,S,0,3,1,0.2775,0,1,1,0,1.0
60,0,3,1,11.0,5,2,46.9,S,1,7,1,0.469,0,1,0,1,1.0
61,0,3,1,22.0,0,0,7.2292,C,1,0,0,0.072292,0,0,0,1,2.0
62,1,1,0,38.0,0,0,80.0,Q,1,0,0,0.8,0,0,0,0,3.0
63,0,1,1,45.0,1,0,83.475,S,1,1,1,0.83475,0,1,0,0,1.0
64,0,3,1,4.0,3,2,27.9,S,0,5,1,0.27899999999999997,0,1,0,1,1.0
65,0,1,1,37.0,0,0,27.7208,C,1,0,0,0.277208,0,0,0,0,2.0
